iter,f_loss,elapsed_sec
0,1.6360100507736206,0.03
1,1.7981023788452148,0.06
2,2.7246155738830566,0.1
3,3.979328155517578,0.13
4,4.061487674713135,0.16
5,3.6112122535705566,0.19
6,3.1755247116088867,0.22
7,3.2409372329711914,0.25
8,2.741605758666992,0.28
9,2.9638023376464844,0.31
10,2.662686347961426,0.35
11,2.4093847274780273,0.38
12,2.2481813430786133,0.41
13,2.427816390991211,0.44
14,2.3057737350463867,0.47
15,2.2230758666992188,0.5
16,2.2699031829833984,0.53
17,2.350025177001953,0.56
18,2.1595516204833984,0.59
19,2.0683069229125977,0.62
20,2.1435184478759766,0.66
21,2.1693801879882812,0.69
22,1.9606990814208984,0.72
23,2.214975357055664,0.75
24,1.996866226196289,0.78
25,1.97503662109375,0.81
26,1.9729633331298828,0.84
27,2.1298141479492188,0.87
28,2.0206260681152344,0.9
29,1.971323013305664,0.93
30,2.1115379333496094,0.97
31,2.049938201904297,1.0
32,1.9299144744873047,1.03
33,2.0394973754882812,1.06
34,1.941720962524414,1.09
35,2.0489234924316406,1.12
36,2.0365123748779297,1.16
37,1.9855289459228516,1.19
38,2.0373096466064453,1.22
39,2.0907554626464844,1.25
40,2.1470985412597656,1.28
41,2.1370277404785156,1.31
42,1.8999881744384766,1.34
43,2.018289566040039,1.37
44,2.0019474029541016,1.4
45,1.9589462280273438,1.43
46,1.9602737426757812,1.47
47,1.9237003326416016,1.5
48,2.1324539184570312,1.53
49,2.082561492919922,1.56
50,1.8969974517822266,1.59
51,1.9546356201171875,1.62
52,2.0639190673828125,1.65
53,1.8779640197753906,1.68
54,1.9052143096923828,1.71
55,2.0295562744140625,1.74
56,2.0936317443847656,1.77
57,1.9256553649902344,1.81
58,1.9731063842773438,1.84
59,1.979879379272461,1.87
60,1.994659423828125,1.9
61,1.8327598571777344,1.93
62,1.9966964721679688,1.96
63,1.884969711303711,1.99
64,1.9834403991699219,2.03
65,1.9790477752685547,2.06
66,2.0451602935791016,2.09
67,1.9765701293945312,2.12
68,2.052837371826172,2.15
69,2.113140106201172,2.18
70,2.1671600341796875,2.21
71,1.9911613464355469,2.24
72,1.932332992553711,2.28
73,2.0730667114257812,2.31
74,1.96685791015625,2.34
75,2.0495529174804688,2.37
76,2.029325485229492,2.4
77,2.043802261352539,2.43
78,1.9670047760009766,2.46
79,1.9720516204833984,2.49
80,2.0273818969726562,2.52
81,1.9936485290527344,2.56
82,2.1014556884765625,2.59
83,2.1050472259521484,2.62
84,1.9757919311523438,2.65
85,2.0590858459472656,2.68
86,1.9198474884033203,2.71
87,1.938720703125,2.74
88,1.8868885040283203,2.77
89,2.1141319274902344,2.8
90,1.9531307220458984,2.83
91,1.85107421875,2.87
92,2.0253753662109375,2.9
93,2.0468807220458984,2.93
94,2.1376171112060547,2.96
95,2.0664844512939453,2.99
96,1.960906982421875,3.02
97,1.7651119232177734,3.05
98,2.011137008666992,3.09
99,2.024181365966797,3.12
100,2.0263729095458984,3.15
101,2.137958526611328,3.18
102,1.998992919921875,3.21
103,1.8995208740234375,3.24
104,2.0036239624023438,3.27
105,1.9509601593017578,3.31
106,2.111501693725586,3.34
107,1.9359359741210938,3.37
108,1.9327983856201172,3.4
109,2.0090789794921875,3.43
110,2.0719833374023438,3.46
111,1.9617729187011719,3.49
112,1.9646968841552734,3.52
113,2.0214996337890625,3.56
114,1.86663818359375,3.59
115,1.9774093627929688,3.62
116,1.932302474975586,3.65
117,1.987813949584961,3.68
118,2.024198532104492,3.71
119,2.075428009033203,3.74
120,1.9053306579589844,3.77
121,2.0891189575195312,3.81
122,2.026824951171875,3.84
123,1.9361438751220703,3.87
124,1.9578056335449219,3.9
125,1.9035511016845703,3.93
126,1.9161376953125,3.96
127,1.9052562713623047,3.99
128,2.198627471923828,4.03
129,1.9598312377929688,4.06
130,1.961029052734375,4.09
131,2.0878334045410156,4.12
132,1.9359798431396484,4.15
133,2.0391998291015625,4.18
134,1.984579086303711,4.22
135,1.9808406829833984,4.25
136,2.1034793853759766,4.28
137,2.1009292602539062,4.31
138,2.2593307495117188,4.34
139,1.939443588256836,4.37
140,2.0040836334228516,4.4
141,1.9517745971679688,4.43
142,2.0983448028564453,4.47
143,1.922342300415039,4.5
144,2.044668197631836,4.53
145,2.001005172729492,4.56
146,2.0458831787109375,4.59
147,1.994394302368164,4.62
148,2.0981922149658203,4.65
149,2.0753021240234375,4.68
150,1.9066181182861328,4.72
151,1.9396743774414062,4.75
152,1.9157638549804688,4.78
153,1.9898605346679688,4.81
154,2.2245311737060547,4.84
155,1.8796844482421875,4.87
156,1.9446678161621094,4.9
157,2.0316925048828125,4.93
158,2.0172767639160156,4.96
159,2.1207523345947266,5.0
160,2.0238380432128906,5.03
161,2.0914955139160156,5.06
162,2.016742706298828,5.09
163,1.8919181823730469,5.12
164,1.8799896240234375,5.15
165,1.9760093688964844,5.2
166,1.9756278991699219,5.23
167,1.9521446228027344,5.27
168,1.9792823791503906,5.3
169,1.9721298217773438,5.33
170,2.0268325805664062,5.36
171,1.8853034973144531,5.39
172,1.8800830841064453,5.42
173,1.996908187866211,5.45
174,1.8895893096923828,5.48
175,1.974853515625,5.52
176,1.871124267578125,5.55
177,2.135692596435547,5.58
178,2.058156967163086,5.61
179,2.087078094482422,5.64
180,2.050321578979492,5.67
181,2.081329345703125,5.7
182,1.9019145965576172,5.73
183,2.057598114013672,5.77
184,2.006742477416992,5.8
185,1.9932384490966797,5.83
186,2.033082962036133,5.86
187,1.9175796508789062,5.89
188,1.9361419677734375,5.92
189,1.9359664916992188,5.95
190,1.99755859375,5.99
191,1.8321533203125,6.02
192,1.9104747772216797,6.05
193,1.9205188751220703,6.08
194,1.9718761444091797,6.11
195,2.132265090942383,6.14
196,1.9414234161376953,6.17
197,1.9995574951171875,6.2
198,2.0645179748535156,6.24
199,2.1833858489990234,6.27
200,2.127500534057617,6.3
201,1.9088134765625,6.33
202,1.9688949584960938,6.36
203,2.0725173950195312,6.39
204,1.8929462432861328,6.42
205,2.035585403442383,6.46
206,1.912139892578125,6.49
207,2.101442337036133,6.52
208,1.9774627685546875,6.55
209,2.033456802368164,6.58
210,2.0920181274414062,6.61
211,1.8903446197509766,6.65
212,1.9790267944335938,6.68
213,2.0256309509277344,6.71
214,1.8656024932861328,6.74
215,2.0207252502441406,6.77
216,1.9323348999023438,6.8
217,1.868194580078125,6.83
218,1.9072456359863281,6.86
219,2.0234336853027344,6.9
220,1.9627513885498047,6.93
221,2.1284122467041016,6.96
222,1.994131088256836,6.99
223,1.8712615966796875,7.02
224,1.9089641571044922,7.05
225,2.0047035217285156,7.08
226,1.994455337524414,7.12
227,1.977853775024414,7.15
228,2.0756359100341797,7.18
229,1.9035282135009766,7.21
230,1.9194145202636719,7.24
231,1.9679508209228516,7.27
232,1.9931716918945312,7.3
233,2.1867752075195312,7.33
234,1.913125991821289,7.37
235,2.0361194610595703,7.4
236,2.073375701904297,7.43
237,2.004058837890625,7.46
238,1.9641304016113281,7.49
239,2.25787353515625,7.52
240,2.0501346588134766,7.56
241,1.9703540802001953,7.59
242,1.910745620727539,7.63
243,2.0222396850585938,7.66
244,1.9731826782226562,7.69
245,2.1369991302490234,7.72
246,2.0204811096191406,7.76
247,2.1011600494384766,7.79
248,2.131031036376953,7.82
249,1.8559188842773438,7.85
250,1.9594306945800781,7.88
251,1.857025146484375,7.91
252,1.9940834045410156,7.95
253,2.0654239654541016,7.98
254,2.0097427368164062,8.01
255,1.9862499237060547,8.05
256,2.003448486328125,8.08
257,2.0554122924804688,8.11
258,1.9125518798828125,8.15
259,1.982666015625,8.18
260,2.087604522705078,8.21
261,1.9636116027832031,8.25
262,1.9707489013671875,8.28
263,1.9132938385009766,8.31
264,2.178295135498047,8.36
265,2.126924514770508,8.39
266,2.0459976196289062,8.42
267,1.9694538116455078,8.45
268,2.027505874633789,8.48
269,1.9436149597167969,8.52
270,2.123973846435547,8.55
271,1.987203598022461,8.58
272,2.048727035522461,8.61
273,1.9873828887939453,8.64
274,1.9679412841796875,8.68
275,2.0243358612060547,8.71
276,2.0362911224365234,8.74
277,1.9257774353027344,8.77
278,1.7711372375488281,8.8
279,2.037363052368164,8.83
280,2.0407371520996094,8.86
281,2.0030784606933594,8.9
282,1.9280929565429688,8.93
283,2.0470104217529297,8.96
284,2.021678924560547,8.99
285,2.052135467529297,9.03
286,2.0310211181640625,9.06
287,2.1366939544677734,9.09
288,2.1407241821289062,9.12
289,2.1223621368408203,9.15
290,2.071168899536133,9.19
291,2.070158004760742,9.22
292,2.1326637268066406,9.25
293,2.156667709350586,9.28
294,2.08087158203125,9.31
295,2.029115676879883,9.34
296,2.011821746826172,9.37
297,1.9654254913330078,9.41
298,1.8709354400634766,9.44
299,1.9217262268066406,9.47
300,1.989990234375,9.5
301,2.0572242736816406,9.53
302,2.1731338500976562,9.56
303,1.9391288757324219,9.6
304,2.0373897552490234,9.63
305,2.076995849609375,9.66
306,1.9722461700439453,9.69
307,1.9886932373046875,9.72
308,1.948556900024414,9.75
309,1.9929885864257812,9.78
310,2.0630874633789062,9.82
311,1.940500259399414,9.85
312,2.0048866271972656,9.88
313,1.9688072204589844,9.91
314,2.010110855102539,9.94
315,2.1176795959472656,9.97
316,1.9048957824707031,10.01
317,2.0192947387695312,10.04
318,1.9791584014892578,10.07
319,2.0290889739990234,10.1
320,2.0231246948242188,10.13
321,2.1211090087890625,10.17
322,2.02679443359375,10.2
323,2.051240921020508,10.23
324,2.025167465209961,10.26
325,2.063234329223633,10.29
326,2.0407333374023438,10.32
327,1.9895915985107422,10.35
328,2.0673961639404297,10.39
329,1.93487548828125,10.42
330,2.0646114349365234,10.45
331,1.961538314819336,10.48
332,2.060819625854492,10.51
333,1.9785823822021484,10.54
334,2.091533660888672,10.57
335,1.996480941772461,10.6
336,2.056743621826172,10.64
337,1.9278011322021484,10.67
338,2.08563232421875,10.7
339,2.0482406616210938,10.73
340,1.9907512664794922,10.76
341,2.114990234375,10.8
342,1.8696632385253906,10.83
343,1.8989849090576172,10.86
344,2.009206771850586,10.89
345,2.031953811645508,10.92
346,2.045246124267578,10.95
347,1.9599876403808594,10.98
348,1.9510440826416016,11.02
349,1.9423065185546875,11.05
350,2.0582714080810547,11.08
351,2.083385467529297,11.11
352,2.0888671875,11.14
353,2.0742321014404297,11.17
354,1.9576568603515625,11.2
355,2.017528533935547,11.24
356,2.129070281982422,11.27
357,2.0884876251220703,11.3
358,1.8044071197509766,11.33
359,2.0852298736572266,11.36
360,1.9445667266845703,11.39
361,1.9387359619140625,11.43
362,2.032045364379883,11.46
363,1.946939468383789,11.49
364,2.1389732360839844,11.52
365,2.090780258178711,11.55
366,2.015401840209961,11.58
367,2.0621376037597656,11.62
368,2.0743541717529297,11.65
369,2.145334243774414,11.68
370,1.9527530670166016,11.71
371,2.020061492919922,11.74
372,2.0315513610839844,11.77
373,2.0427608489990234,11.81
374,2.001729965209961,11.84
375,1.924642562866211,11.87
376,1.832723617553711,11.9
377,1.9838676452636719,11.93
378,2.1164321899414062,11.96
379,2.1675052642822266,11.99
380,1.9118022918701172,12.02
381,1.9609222412109375,12.06
382,1.9252891540527344,12.09
383,2.0512847900390625,12.12
384,2.026857376098633,12.15
385,2.078716278076172,12.18
386,1.9596691131591797,12.22
387,2.146677017211914,12.25
388,1.7732048034667969,12.28
389,2.0980472564697266,12.31
390,1.9134769439697266,12.34
391,1.9903945922851562,12.37
392,2.0299911499023438,12.4
393,1.9652290344238281,12.44
394,2.0296688079833984,12.47
395,1.9305419921875,12.5
396,1.8764266967773438,12.53
397,2.061044692993164,12.57
398,2.1956958770751953,12.6
399,2.1016063690185547,12.63
